profitability,title,release_date
420,"Open Water",2004-08-06
311,Bambi,1942-08-14
263,"Night of the Living Dead",1968-10-01
250,"Mad Max",1979-04-12
233,Halloween,1978-10-25
180,"American Graffiti",1973-08-01
129,Once,2007-03-23
124,"Snow White and the Seven Dwarfs",1937-12-20
117,Rocky,1976-11-21
115,"Napoleon Dynamite",2004-06-11
101,"The Devil Inside",2012-01-06
101,"Sweet Sweetback's Baadasssss Song",1971-04-23
100,"Gone with the Wind",1939-12-15
89,"The Big Parade",1925-11-05
86,Saw,2004-10-01
84,"The Evil Dead",1981-10-15
75,"E.T. the Extra-Terrestrial",1982-04-03
73,"My Big Fat Greek Wedding",2002-02-22
73,"The Full Monty",1997-08-13
72,"A Fistful of Dollars",1964-09-12
70,"Star Wars",1977-05-25
67,Jaws,1975-06-18
66,Fireproof,2008-09-26
65,"Crocodile Dundee",1986-09-26
64,Insidious,2010-09-13
62,Unfriended,2015-04-17
62,"Dr. No",1962-10-04
59,"Paranormal Activity 2",2010-10-20
57,Woodstock,1970-03-26
55,"The Exorcist",1973-12-26
52,"Animal House",1978-07-27
49,Goldfinger,1964-09-17
48,"Chasing Amy",1997-04-04
46,"An Inconvenient Truth",2006-01-24
45,"Blazing Saddles",1974-02-07
42,"Four Weddings and a Funeral",1994-03-09
41,"Paranormal Activity 3",2011-10-19
41,"Roger & Me",1989-09-01
40,"The Godfather",1972-03-14
39,Psycho,1960-06-16
39,Annabelle,2014-10-02
39,"From Russia with Love",1963-10-11
38,"Saw II",2005-10-28
37,"The Last Exorcism",2010-08-27
37,"Tom Jones",1963-10-06
36,"One Flew Over the Cuckoo's Nest",1975-11-18
36,Fantasia,1940-11-13
35,"The Lives of Others",2006-03-15
34,"The Sound of Music",1965-03-02
34,Courageous,2011-09-30
34,"Kingdom of the Spiders",1977-08-24
33,"Pretty Woman",1990-03-23
32,Pinocchio,1940-02-23
32,"Police Academy",1984-03-22
31,"Porky's",1981-11-13
30,Juno,2007-12-05
30,Grease,1978-07-07
30,"Young Frankenstein",1974-12-15
29,"The Empire Strikes Back",1980-05-17
29,"The Sting",1973-12-25
29,"Lost in Translation",2003-08-31
29,"The Purge",2013-05-31
28,"Paranormal Activity 4",2012-10-17
27,"The King's Speech",2010-09-06
26,"Home Alone",1990-11-09
26,"Pulp Fiction",1994-10-08
26,"Tupac: Resurrection",2003-01-23
26,"Death Race 2000",1975-04-27
25,"Slumdog Millionaire",2008-05-12
25,"Black Swan",2010-12-02
25,"The Fault in Our Stars",2014-05-16
25,Thunderball,1965-12-16
25,Dope,2015-06-19
25,Sinister,2012-03-29
25,"Your Sister's Sister",2011-09-11
24,"The Conjuring",2013-07-18
24,"Sling Blade",1996-08-30
24,"A Haunted House",2013-01-11
23,"Top Gun",1986-05-16
23,"American Beauty",1999-09-15
23,Flashdance,1983-04-14
23,"Magic Mike",2012-06-28
23,"Live and Let Die",1973-07-05
23,Platoon,1986-12-18
23,Airplane!,1980-07-02
23,"The Beast from 20,000 Fathoms",1953-06-13
22,Ghost,1990-07-12
22,"The French Connection",1971-10-09
22,"Fatal Attraction",1987-09-11
22,"Good Will Hunting",1997-12-05
22,"Billy Elliot",2000-05-18
22,Swingers,1996-10-18
21,"The Omen",1976-06-06
21,"Raiders of the Lost Ark",1981-06-12
21,"The Fog",1980-02-08
21,"Beverly Hills Cop",1984-11-29
21,"American Pie",1999-07-09
21,"Bend It Like Beckham",2002-04-11
21,"Taxi Driver",1976-02-07
21,"A Hard Day's Night",1964-07-06
21,Intolerance,1916-09-04
20,"The Passion of the Christ",2004-02-25
