title,popularity,release_date
Minions,875,2015-06-17
Interstellar,724,2014-11-05
Deadpool,514,2016-02-09
"Guardians of the Galaxy",481,2014-07-30
"Mad Max: Fury Road",434,2015-05-13
"Jurassic World",418,2015-06-09
"Pirates of the Caribbean: The Curse of the Black Pearl",271,2003-07-09
"Dawn of the Planet of the Apes",243,2014-06-26
"The Hunger Games: Mockingjay - Part 1",206,2014-11-18
"Big Hero 6",203,2014-10-24
"Terminator Genisys",202,2015-06-23
"Captain America: Civil War",198,2016-04-27
Whiplash,192,2014-10-10
"The Dark Knight",187,2008-07-16
Inception,167,2010-07-14
"The Martian",167,2015-09-30
Frozen,165,2013-11-27
"Batman v Superman: Dawn of Justice",155,2016-03-23
Avatar,150,2009-12-10
"Pirates of the Caribbean: Dead Man's Chest",145,2006-06-20
"The Imitation Game",145,2014-11-14
"The Avengers",144,2012-04-25
"Teenage Mutant Ninja Turtles",143,2014-08-07
"Gone Girl",143,2014-10-01
Pixels,140,2015-07-16
"Pirates of the Caribbean: At World's End",139,2007-05-19
"X-Men: Apocalypse",139,2016-05-18
Fury,139,2014-10-15
"The Lord of the Rings: The Fellowship of the Ring",138,2001-12-18
"Rise of the Planet of the Apes",138,2011-08-03
"Despicable Me 2",136,2013-06-25
"Pirates of the Caribbean: On Stranger Tides",135,2011-05-14
"Avengers: Age of Ultron",134,2015-04-22
"Harry Potter and the Chamber of Secrets",132,2002-11-13
"The Maze Runner",131,2014-09-10
Tomorrowland,130,2015-05-19
"Inside Out",128,2015-06-09
"The Hunger Games: Mockingjay - Part 2",127,2015-11-18
Twilight,127,2008-11-20
Brave,125,2012-06-21
"The Lord of the Rings: The Return of the King",123,2003-12-01
"The Hobbit: The Battle of the Five Armies",120,2014-12-10
"Iron Man",120,2008-04-30
Ant-Man,120,2015-07-14
"X-Men: Days of Future Past",118,2014-05-15
"Spirited Away",118,2001-07-20
"Transformers: Age of Extinction",116,2014-06-25
Chappie,116,2015-03-04
"Spider-Man 3",115,2007-05-01
"Batman Begins",115,2005-06-10
"Night at the Museum: Secret of the Tomb",115,2014-12-17
Lucy,115,2014-07-14
"Mission: Impossible - Rogue Nation",114,2015-07-23
"Despicable Me",113,2010-07-08
"Maze Runner: The Scorch Trials",113,2015-09-09
"The Dark Knight Rises",112,2012-07-16
Maleficent,110,2014-05-28
Gravity,110,2013-09-27
"Harry Potter and the Philosopher's Stone",109,2001-11-16
"Bruce Almighty",109,2003-05-23
"The Hobbit: An Unexpected Journey",108,2012-11-26
Spectre,107,2015-10-26
"Quantum of Solace",107,2008-10-30
"The Twilight Saga: Eclipse",107,2010-06-23
"Monsters, Inc.",106,2001-11-01
"The Lord of the Rings: The Two Towers",106,2002-12-18
Insurgent,103,2015-03-18
"Furious 7",102,2015-04-01
"Harry Potter and the Goblet of Fire",101,2005-11-05
"Exodus: Gods and Kings",101,2014-12-03
Cinderella,101,2015-03-12
"How to Train Your Dragon 2",100,2014-06-12
"The Revenant",100,2015-12-25
"San Andreas",100,2015-05-27
"We're the Millers",100,2013-08-07
"It Follows",100,2015-02-04
"Man of Steel",99,2013-06-12
"Thor: The Dark World",99,2013-10-29
"The Twilight Saga: Breaking Dawn - Part 2",99,2012-11-13
"Ice Age",99,2002-03-10
"Harry Potter and the Half-Blood Prince",98,2009-07-07
"Fifty Shades of Grey",98,2015-02-11
"I, Robot",95,2004-07-15
Gladiator,95,2000-05-01
"The Wolf of Wall Street",95,2013-12-25
"12 Years a Slave",95,2013-10-18
"Ex Machina",95,2015-01-21
"The Hobbit: The Desolation of Smaug",94,2013-12-11
"The Jungle Book",94,2016-04-07
"The Twilight Saga: New Moon",94,2009-03-15
Skyfall,93,2012-10-25
Up,92,2009-05-13
"Men in Black II",91,2002-07-03
"Black Swan",91,2010-12-02
"Suicide Squad",90,2016-08-02
"The Bourne Legacy",90,2012-08-08
"Pan's Labyrinth",90,2006-05-27
"The Amazing Spider-Man",89,2012-06-27
"Monsters University",89,2013-06-20
"The Amazing Spider-Man 2",89,2014-04-16
"The Adventures of Tintin",89,2011-10-25
Birdman,89,2014-08-27
Nightcrawler,89,2014-10-23
"Casino Royale",88,2006-11-14
"Taken 3",88,2014-12-16
Prisoners,88,2013-09-18
"American Sniper",87,2014-12-11
Thor,86,2011-04-21
Allegiant,86,2016-03-09
"The Bourne Identity",86,2002-06-14
"Jupiter Ascending",85,2015-02-04
"Finding Nemo",85,2003-05-30
"Ice Age: The Meltdown",85,2006-03-23
"Sin City: A Dame to Kill For",85,2014-08-20
"Penguins of Madagascar",84,2014-11-22
"Kung Fu Panda",84,2008-06-04
"V for Vendetta",84,2006-03-15
Non-Stop,83,2014-01-26
"The Devil Wears Prada",83,2006-06-30
Spider-Man,82,2002-05-01
"Django Unchained",82,2012-12-25
Cars,82,2006-06-08
"Horrible Bosses 2",82,2014-11-26
"The Hangover",82,2009-06-05
"The Age of Adaline",82,2015-04-16
"The Purge: Anarchy",82,2014-07-17
"World War Z",81,2013-06-20
"Night at the Museum: Battle of the Smithsonian",81,2009-05-20
